Name,Type1,Type2,Evolution
bulbasaur,Grass,Poison,ivysaur
ivysaur,Grass,Poison,venusaur
venusaur,Grass,Poison,
charmander,Fire,,charmeleon
charmeleon,Fire,,charizard
charizard,Fire,Flying,
squirtle,Water,,wartortle
wartortle,Water,,blastoise
blastoise,Water,,
caterpie,Bug,,metapod
metapod,Bug,,butterfree
butterfree,Bug,Flying,
weedle,Bug,Poison,kakuna
kakuna,Bug,Poison,beedrill
beedrill,Bug,Poison,
pidgey,Normal,Flying,pidgeotto
pidgeotto,Normal,Flying,pidgeot
pidgeot,Normal,Flying,
rattata,Normal,,raticate
raticate,Normal,,
spearow,Normal,Flying,fearow
fearow,Normal,Flying,
ekans,Poison,,arbok
arbok,Poison,,
pikachu,Electric,,raichu
raichu,Electric,,
sandshrew,Ground,,sandslash
sandslash,Ground,,
nidoran-f,Poison,,nidorina
nidorina,Poison,,nidoqueen
nidoqueen,Poison,Ground,
nidoran-m,Poison,,nidorino
nidorino,Poison,,nidoking
nidoking,Poison,Ground,
clefairy,Fairy,,clefable
clefable,Fairy,,
vulpix,Fire,,ninetales
ninetales,Fire,,
jigglypuff,Normal,Fairy,
wigglytuff,Normal,Fairy,
zubat,Poison,Flying,
golbat,Poison,Flying,
oddish,Grass,Poison,
gloom,Grass,Poison,
vileplume,Grass,Poison,
paras,Bug,Grass,
parasect,Bug,Grass,
venonat,Bug,Poison,
venomoth,Bug,Poison,
diglett,Ground,,dugtrio
dugtrio,Ground,,
meowth,Normal,,persian
persian,Normal,,
psyduck,Water,,golduck
golduck,Water,,
mankey,Fighting,,primeape
primeape,Fighting,,
growlithe,Fire,,arcanine
arcanine,Fire,,
poliwag,Water,,poliwhirl
poliwhirl,Water,,poliwrath
poliwrath,Water,Fighting,
abra,Psychic,,kadabra
kadabra,Psychic,,alakazam
alakazam,Psychic,,
machop,Fighting,,
machoke,Fighting,,
machamp,Fighting,,
bellsprout,Grass,Poison,
weepinbell,Grass,Poison,
victreebel,Grass,Poison,
tentacool,Water,Poison,
tentacruel,Water,Poison,
geodude,Rock,Ground,
graveler,Rock,Ground,
golem,Rock,Ground,
ponyta,Fire,,
rapidash,Fire,,
slowpoke,Water,Psychic,
slowbro,Water,Psychic,
magnemite,Electric,Steel,
magneton,Electric,Steel,
farfetchd,Normal,Flying,
doduo,Normal,Flying,
dodrio,Normal,Flying,
seel,Water,,
dewgong,Water,Ice,
grimer,Poison,,
muk,Poison,,
shellder,Water,,
cloyster,Water,Ice,
gastly,Ghost,Poison,
haunter,Ghost,Poison,
gengar,Ghost,Poison,
onix,Rock,Ground,
drowzee,Psychic,,
hypno,Psychic,,
krabby,Water,,
kingler,Water,,
voltorb,Electric,,
electrode,Electric,,
exeggcute,Grass,Psychic,
exeggutor,Grass,Psychic,
cubone,Ground,,
marowak,Ground,,
hitmonlee,Fighting,,
hitmonchan,Fighting,,
lickitung,Normal,,
koffing,Poison,,
weezing,Poison,,
rhyhorn,Ground,Rock,
rhydon,Ground,Rock,
chansey,Normal,,
tangela,Grass,,
kangaskhan,Normal,,
horsea,Water,,
seadra,Water,,
goldeen,Water,,
seaking,Water,,
staryu,Water,,
starmie,Water,Psychic,
mr-mime,Psychic,Fairy,
scyther,Bug,Flying,
jynx,Ice,Psychic,
electabuzz,Electric,,
magmar,Fire,,
pinsir,Bug,,
tauros,Normal,,
magikarp,Water,,
gyarados,Water,Flying,
lapras,Water,Ice,
ditto,Normal,,
eevee,Normal,,
vaporeon,Water,,
jolteon,Electric,,
flareon,Fire,,
porygon,Normal,,
omanyte,Rock,Water,
omastar,Rock,Water,
kabuto,Rock,Water,
kabutops,Rock,Water,
aerodactyl,Rock,Flying,
snorlax,Normal,,
articuno,Ice,Flying,
zapdos,Electric,Flying,
moltres,Fire,Flying,
dratini,Dragon,,
dragonair,Dragon,,
dragonite,Dragon,Flying,
mewtwo,Psychic,,
mew,Psychic,,
